Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Self Control,Addiction Level,CurrentActivity,ConnectionType,Average Video Length,Engagement Rate,Time Spent Per Session
56,Male,Pakistan,82812,True,True,Engineer,Rural,Instagram,80,17,24,7867,5,26,22,87,Night,3,7,5,5,Commuting,Mobile Data,1.1818181818181819,357.59090909090907,4.705882352941177
46,Female,Mexico,27999,False,True,Artist,Urban,Instagram,228,14,19,5944,6,25,31,46,Afternoon,5,5,7,3,At school,Wi-Fi,0.8064516129032258,191.74193548387098,16.285714285714285
32,Female,United States,42436,False,True,Engineer,Rural,Facebook,30,6,19,8674,3,9,7,88,Evening,6,4,8,2,At home,Mobile Data,1.2857142857142858,1239.142857142857,5.0
60,Male,Barzil,62963,True,False,Waiting staff,Rural,YouTube,101,19,4,2477,2,6,41,93,Night,3,7,5,5,Commuting,Mobile Data,0.14634146341463414,60.41463414634146,5.315789473684211
25,Male,Pakistan,22096,False,True,Manager,Urban,TikTok,136,6,19,3093,7,13,21,4,Morning,8,2,10,0,At home,Mobile Data,0.6190476190476191,147.28571428571428,22.666666666666668
38,Male,Vietnam,45279,False,False,Driver,Urban,Instagram,89,18,9,8534,5,27,16,38,Night,3,7,5,5,At home,Wi-Fi,1.6875,533.375,4.944444444444445
56,Male,India,46201,False,False,Students,Rural,TikTok,247,5,16,7207,9,22,20,63,Morning,8,2,10,0,At school,Wi-Fi,1.1,360.35,49.4
36,Male,Barzil,39715,False,False,Engineer,Rural,Instagram,191,6,27,9654,3,28,43,29,Night,3,7,5,5,At home,Mobile Data,0.6511627906976745,224.51162790697674,31.833333333333332
40,Male,United States,49309,False,False,Waiting staff,Rural,Instagram,34,2,4,9394,8,20,44,19,Night,3,7,5,5,At home,Mobile Data,0.45454545454545453,213.5,17.0
28,Other,United States,35078,False,False,Students,Rural,YouTube,165,8,6,9813,6,4,47,91,Evening,6,4,8,2,At home,Mobile Data,0.0851063829787234,208.7872340425532,20.625
28,Male,Indonesia,76614,True,True,Manager,Rural,Instagram,14,15,8,6227,4,2,19,29,Afternoon,5,5,7,3,At home,Mobile Data,0.10526315789473684,327.7368421052632,0.9333333333333333
41,Other,Philippines,25105,False,False,Labor/Worker,Urban,TikTok,129,15,27,3535,9,26,48,35,Evening,6,4,8,2,At home,Wi-Fi,0.5416666666666666,73.64583333333333,8.6
53,Male,Japan,22839,False,False,Waiting staff,Rural,Instagram,286,11,29,7004,5,4,32,70,Afternoon,5,5,7,3,At school,Mobile Data,0.125,218.875,26.0
57,Male,Indonesia,88920,True,True,Waiting staff,Rural,Facebook,27,1,24,2913,6,8,15,23,Evening,6,4,8,2,Commuting,Wi-Fi,0.5333333333333333,194.2,27.0
41,Other,Vietnam,63619,True,True,Cashier,Rural,YouTube,207,18,16,9381,9,13,5,46,Evening,6,4,8,2,At school,Wi-Fi,2.6,1876.2,11.5
20,Female,Philippines,62821,True,True,Students,Rural,YouTube,66,12,5,2340,7,10,11,44,Evening,6,4,8,2,At school,Mobile Data,0.9090909090909091,212.72727272727272,5.5
39,Female,Mexico,33493,False,False,Waiting staff,Rural,Facebook,102,12,21,9795,5,18,15,48,Afternoon,5,5,7,3,At home,Wi-Fi,1.2,653.0,8.5
19,Female,Barzil,37069,False,False,Students,Rural,Facebook,28,11,22,5289,2,9,29,52,Evening,6,4,8,2,At home,Mobile Data,0.3103448275862069,182.3793103448276,2.5454545454545454
41,Other,Japan,27531,False,False,Labor/Worker,Rural,Facebook,202,8,10,597,4,1,45,8,Evening,6,4,8,2,At work,Mobile Data,0.022222222222222223,13.266666666666667,25.25
61,Male,United States,57051,True,True,Labor/Worker,Urban,Instagram,246,7,23,8836,2,13,4,55,Morning,8,2,10,0,At work,Mobile Data,3.25,2209.0,35.142857142857146
47,Male,India,27736,False,False,Waiting staff,Rural,YouTube,286,2,13,7145,3,18,49,66,Afternoon,5,5,7,3,Commuting,Mobile Data,0.3673469387755102,145.81632653061226,143.0
55,Male,Barzil,27710,False,False,Driver,Rural,Facebook,236,11,29,2902,3,15,36,77,Afternoon,5,5,7,3,Commuting,Mobile Data,0.4166666666666667,80.61111111111111,21.454545454545453
19,Female,Indonesia,87155,True,False,Students,Rural,Instagram,242,10,26,6645,4,2,48,40,Night,3,7,5,5,At work,Mobile Data,0.041666666666666664,138.4375,24.2
38,Female,India,33975,False,False,Waiting staff,Urban,Facebook,49,3,14,8955,6,11,23,85,Evening,6,4,8,2,At home,Mobile Data,0.4782608695652174,389.3478260869565,16.333333333333332
50,Male,Germany,82424,True,True,Waiting staff,Rural,TikTok,162,10,7,7694,3,29,15,31,Evening,6,4,8,2,At home,Mobile Data,1.9333333333333333,512.9333333333333,16.2
29,Male,Japan,65603,True,False,Labor/Worker,Urban,TikTok,136,18,29,4830,1,14,46,48,Afternoon,5,5,7,3,At school,Wi-Fi,0.30434782608695654,105.0,7.555555555555555
39,Male,Japan,43252,False,True,Students,Rural,YouTube,246,14,20,7546,1,22,44,61,Evening,6,4,8,2,Commuting,Mobile Data,0.5,171.5,17.571428571428573
61,Other,Vietnam,21431,False,False,Manager,Urban,Instagram,64,18,6,7368,9,15,3,52,Night,3,7,5,5,At home,Wi-Fi,5.0,2456.0,3.5555555555555554
