Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
2020,good service,"['Good', 'service']","['good', 'service']",good service,good service,good service,good service,Positive,0,0.4404
2021,second bill double normal electric bill paperwork something not right,"['My', 'second', 'bill', 'was', 'double', 'the', 'normal', 'electric', 'bill', 'and', 'no', 'paperwork', ',', 'something', 'is', 'not', 'right']","['my', 'second', 'bill', 'was', 'double', 'the', 'normal', 'electric', 'bill', 'and', 'no', 'paperwork', ',', 'something', 'is', 'not', 'right']",my second bill was double the normal electric bill and no paperwork  something is not right,second bill double normal electric bill paperwork something not right,second bill double normal electric bill paperwork something not right,second bill double normal electric bill paperwork something not right,Negative,1,0
2021,poor service almost twenty brownout one day,"['Very', 'poor', 'service', ',', 'almost', 'twenty', 'brownout', 'in', 'one', 'day']","['very', 'poor', 'service', ',', 'almost', 'twenty', 'brownout', 'in', 'one', 'day']",very poor service  almost twenty brownout in one day,poor service almost twenty brownout one day,poor service almost twenty brownout one day,poor service almost twenty brownout one day,Negative,1,-0.4767
2022,power interruption without sign problem power line,"['Power', 'interruptions', 'without', 'any', 'sign', 'of', 'problem', 'with', 'power', 'lines', '.']","['power', 'interruptions', 'without', 'any', 'sign', 'of', 'problem', 'with', 'power', 'lines', '.']",power interruptions without any sign of problem with power lines ,power interruptions without sign problem power lines,power interruption without sign problem power line,power interruption without sign problem power line,Negative,1,-0.0624
2022,number hotlines not answer,"['The', 'number', 'on', 'your', 'hotlines', 'are', 'not', 'answering', '.']","['the', 'number', 'on', 'your', 'hotlines', 'are', 'not', 'answering', '.']",the number on your hotlines are not answering ,number hotlines not answering,number hotlines not answer,number hotlines not answer,Negative,1,0.0772
2023,friendly office,"['Friendly', 'office']","['friendly', 'office']",friendly office,friendly office,friendly office,friendly office,Positive,0,0.4939
2023,bad service not update member consumer conduct power interruption,"['Worst', 'service', 'of', 'all', '.', 'You', 'do', 'not', 'update', 'member', 'consumers', 'when', 'conducting', 'power', 'interruption']","['worst', 'service', 'of', 'all', '.', 'you', 'do', 'not', 'update', 'member', 'consumers', 'when', 'conducting', 'power', 'interruption']",worst service of all  you do not update member consumers when conducting power interruption,worst service not update member consumers conducting power interruption,bad service not update member consumer conduct power interruption,bad service not update member consumer conduct power interruption,Negative,1,-0.7184
2023,corrupt company greedy bad service government need improve,"['Corrupt', 'company', ',', 'greedy', ',', 'bad', 'services', ',', 'the', 'government', 'needs', 'to', 'improve', 'this']","['corrupt', 'company', ',', 'greedy', ',', 'bad', 'services', ',', 'the', 'government', 'needs', 'to', 'improve', 'this']",corrupt company  greedy  bad services  the government needs to improve this,corrupt company greedy bad services government needs improve,corrupt company greedy bad service government need improve,corrupt company greedy bad service government need improve,Negative,1,-0.4404
2023,terrible conductor electricity,"['Very', 'terrible', 'conductor', 'of', 'electricity']","['very', 'terrible', 'conductor', 'of', 'electricity']",very terrible conductor of electricity,terrible conductor electricity,terrible conductor electricity,terrible conductor electricity,Negative,1,-0.4767
31-Oct-18,service rotten poor consumer,"['the', 'service', 'is', 'very', 'rotten', 'poor', 'consumers', '.']","['the', 'service', 'is', 'very', 'rotten', 'poor', 'consumers', '.']",the service is very rotten poor consumers ,service rotten honest poor consumers,service rotten poor consumer,service rotten poor consumer,Negative,1,-0.7506
31-Oct-18,lot job iselco hope always prioritize safety consumer,"['there', 'are', 'a', 'lot', 'of', 'jobs', 'of', 'Iselco', ',', 'but', 'I', 'hope', 'they', 'always', 'prioritize', 'the', 'safety', 'of', 'consumers', '.']","['there', 'are', 'a', 'lot', 'of', 'jobs', 'of', 'iselco', ',', 'but', 'i', 'hope', 'they', 'always', 'prioritize', 'the', 'safety', 'of', 'consumers', '.']",there are a lot of jobs of iselco  but i hope they always prioritize the safety of consumers ,lot jobs iselco hope always prioritize safety consumers,lot job iselco hope always prioritize safety consumer,lot job iselco hope always prioritize safety consumer,Positive,0,0.6908
31-Oct-18,linemen pass afternoon say come back nothing,"['Your', 'linemen', 'passed', 'by', 'this', 'afternoon', '.', 'They', 'said', 'they', 'will', 'come', 'back', 'but', 'nothing', '.']","['your', 'linemen', 'passed', 'by', 'this', 'afternoon', '.', 'they', 'said', 'they', 'will', 'come', 'back', 'but', 'nothing', '.']",your linemen passed by this afternoon  they said they will come back but nothing ,linemen passed afternoon said come back nothing,linemen pass afternoon say come back nothing,linemen pass afternoon say come back nothing,Negative,1,0
31-Oct-18,thank iselco,"['Thank', 'you', ',', 'Iselco', '!']","['thank', 'you', ',', 'iselco', '!']",thank you  iselco ,thank iselco,thank iselco,thank iselco,Positive,0,0.3612
31-Oct-18,thank much iselco immediate light barangay,"['Thank', 'you', 'very', 'much', 'Iselco', 'for', 'the', 'immediate', 'lighting', 'of', 'our', 'barangay']","['thank', 'you', 'very', 'much', 'iselco', 'for', 'the', 'immediate', 'lighting', 'of', 'our', 'barangay']",thank you very much iselco for the immediate lighting of our barangay,thank much iselco immediate lighting barangay,thank much iselco immediate light barangay,thank much iselco immediate light barangay,Positive,0,0.3612
31-Oct-18,power outage day,"['no', 'electricity', 'for', 'days']","['power', 'outage', 'for', 'days']",power outage for days,power outage days,power outage day,power outage day,Negative,1,0
31-Oct-18,thanks iselco quick action take care godbless,"['Thanks', 'iselco', 'for', 'the', 'quick', 'action', '!', 'Take', 'care', '.', 'Godbless']","['thanks', 'iselco', 'for', 'the', 'quick', 'action', '!', 'take', 'care', '.', 'godbless']",thanks iselco for the quick action  take care  godbless,thanks iselco quick action take care godbless,thanks iselco quick action take care godbless,thanks iselco quick action take care godbless,Positive,0,0.7269
